_sa_instance_state, article_id, condition, exposure_id, popstate, position, previous_scroll_rate, primary, timestamp_selections, title, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee3e20>","10d","condition5","97384042218/2023-08-04 15:21:17.966253","yes","6","1","97384042218/10d/6/2023-08-04 15:22:24.026422","2023-08-04 15:22:24.026422","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee3eb0>","5b","condition6","92699775712/2023-08-04 15:22:01.209738","no","2","1","92699775712/5b/2/2023-08-04 15:22:27.763120","2023-08-04 15:22:27.763120","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee3f40>","5b","condition6","92699775712/2023-08-04 15:22:01.209738","yes","2","1","92699775712/5b/2/2023-08-04 15:22:29.564140","2023-08-04 15:22:29.564140","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee3fd0>","3a","condition3","94848803547/2023-08-04 15:22:11.255509","yes","0","1","94848803547/3a/0/2023-08-04 15:22:49.962303","2023-08-04 15:22:49.962303","Argumenten critici Transgenderwet “slaan helemaal nergens op”: Transman over waarom de nieuwe wet voor transgender personen zo belangrijk is","94848803547",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee80a0>","12d","condition5","97384042218/2023-08-04 15:23:05.768759","no","0","0.12","97384042218/12d/0/2023-08-04 15:23:09.857107","2023-08-04 15:23:09.857107","Lopen vrouwen gevaar in vrouwentoiletten door nieuwe Transgenderwet?","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8130>","12d","condition5","97384042218/2023-08-04 15:23:05.768759","no","0","0.12","97384042218/12d/0/2023-08-04 15:23:11.299497","2023-08-04 15:23:11.299497","Lopen vrouwen gevaar in vrouwentoiletten door nieuwe Transgenderwet?","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee81c0>","12d","condition5","97384042218/2023-08-04 15:23:05.768759","yes","0","0.12","97384042218/12d/0/2023-08-04 15:23:11.320812","2023-08-04 15:23:11.320812","Lopen vrouwen gevaar in vrouwentoiletten door nieuwe Transgenderwet?","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8250>","4b","condition6","92699775712/2023-08-04 15:23:03.168947","no","4","0.49","92699775712/4b/4/2023-08-04 15:23:13.404152","2023-08-04 15:23:13.404152","Wat houdt de nieuwe transgenderwet in? Wij vroegen transpersonen en -activisten ","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee82e0>","4b","condition6","92699775712/2023-08-04 15:23:03.168947","yes","4","0.49","92699775712/4b/4/2023-08-04 15:23:14.048572","2023-08-04 15:23:14.048572","Wat houdt de nieuwe transgenderwet in? Wij vroegen transpersonen en -activisten ","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8370>","12c","condition1","44159352537/2023-08-04 15:22:02.132177","no","7","0.99","44159352537/12c/7/2023-08-04 15:23:31.959139","2023-08-04 15:23:31.959139","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8400>","12c","condition1","44159352537/2023-08-04 15:22:02.132177","yes","7","0.99","44159352537/12c/7/2023-08-04 15:23:32.412762","2023-08-04 15:23:32.412762","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8490>","11c","condition1","44159352537/2023-08-04 15:23:33.835540","no","1","0.15","44159352537/11c/1/2023-08-04 15:23:37.167059","2023-08-04 15:23:37.167059","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8520>","11c","condition1","44159352537/2023-08-04 15:23:33.835540","yes","1","0.15","44159352537/11c/1/2023-08-04 15:23:39.458332","2023-08-04 15:23:39.458332","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee85b0>","4c","condition1","44159352537/2023-08-04 15:23:42.333398","no","0","0","44159352537/4c/0/2023-08-04 15:23:44.925196","2023-08-04 15:23:44.925196","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8640>","4c","condition1","44159352537/2023-08-04 15:23:42.333398","yes","0","0","44159352537/4c/0/2023-08-04 15:23:45.591769","2023-08-04 15:23:45.591769","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee86d0>","12c","condition1","44159352537/2023-08-04 15:23:48.820189","no","7","1.06","44159352537/12c/7/2023-08-04 15:23:58.767615","2023-08-04 15:23:58.767615","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8760>","12c","condition1","44159352537/2023-08-04 15:23:48.820189","yes","7","Infinity","44159352537/12c/7/2023-08-04 15:23:59.214936","2023-08-04 15:23:59.214936","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee87f0>","1a","condition2","76227471802/2023-08-04 15:23:01.528720","no","1","0.98","76227471802/1a/1/2023-08-04 15:24:02.649216","2023-08-04 15:24:02.649216","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8880>","1a","condition2","76227471802/2023-08-04 15:23:01.528720","yes","1","0.98","76227471802/1a/1/2023-08-04 15:24:04.683586","2023-08-04 15:24:04.683586","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8910>","12b","condition6","92699775712/2023-08-04 15:23:54.068027","no","6","0.97","92699775712/12b/6/2023-08-04 15:24:00.958511","2023-08-04 15:24:00.958511","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? “Nee”, zegt transgender activist Lydia van Doorn","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee89a0>","11c","condition1","44159352537/2023-08-04 15:24:00.358777","no","1","0.09","44159352537/11c/1/2023-08-04 15:24:05.623698","2023-08-04 15:24:05.623698","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8a30>","11c","condition1","44159352537/2023-08-04 15:24:00.358777","yes","1","0.09","44159352537/11c/1/2023-08-04 15:24:06.483690","2023-08-04 15:24:06.483690","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8ac0>","12b","condition6","92699775712/2023-08-04 15:23:54.068027","yes","6","0.97","92699775712/12b/6/2023-08-04 15:24:05.772453","2023-08-04 15:24:05.772453","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? “Nee”, zegt transgender activist Lydia van Doorn","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8b50>","3c","condition1","44159352537/2023-08-04 15:24:09.207664","no","2","0.26","44159352537/3c/2/2023-08-04 15:24:12.781688","2023-08-04 15:24:12.781688","Anti-transactivisten maskeren transfobie met beroep op angstgevoelens","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8be0>","3c","condition1","44159352537/2023-08-04 15:24:09.207664","yes","2","0.26","44159352537/3c/2/2023-08-04 15:24:13.448106","2023-08-04 15:24:13.448106","Anti-transactivisten maskeren transfobie met beroep op angstgevoelens","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8c70>","3b","condition2","76227471802/2023-08-04 15:24:14.787396","no","0","0","76227471802/3b/0/2023-08-04 15:24:17.648676","2023-08-04 15:24:17.648676","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8d00>","3b","condition2","76227471802/2023-08-04 15:24:14.787396","yes","0","0","76227471802/3b/0/2023-08-04 15:24:18.041941","2023-08-04 15:24:18.041941","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8d90>","5d","condition1","44159352537/2023-08-04 15:24:14.544365","no","3","0.35","44159352537/5d/3/2023-08-04 15:24:18.783263","2023-08-04 15:24:18.783263","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8e20>","5d","condition1","44159352537/2023-08-04 15:24:14.544365","yes","3","0.35","44159352537/5d/3/2023-08-04 15:24:19.798003","2023-08-04 15:24:19.798003","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8eb0>","5d","condition1","44159352537/2023-08-04 15:24:20.823801","no","3","0.32","44159352537/5d/3/2023-08-04 15:24:24.614415","2023-08-04 15:24:24.614415","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8f40>","5d","condition1","44159352537/2023-08-04 15:24:20.823801","yes","3","0.32","44159352537/5d/3/2023-08-04 15:24:24.700768","2023-08-04 15:24:24.700768","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ee8fd0>","2c","condition1","44159352537/2023-08-04 15:24:26.574728","no","4","0.57","44159352537/2c/4/2023-08-04 15:24:31.247818","2023-08-04 15:24:31.247818","Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed0a0>","2c","condition1","44159352537/2023-08-04 15:24:26.574728","yes","4","0.57","44159352537/2c/4/2023-08-04 15:24:31.884548","2023-08-04 15:24:31.884548","Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed130>","4d","condition5","97384042218/2023-08-04 15:23:57.219343","no","1","1","97384042218/4d/1/2023-08-04 15:24:39.407009","2023-08-04 15:24:39.407009","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed1c0>","4d","condition5","97384042218/2023-08-04 15:23:57.219343","yes","1","1","97384042218/4d/1/2023-08-04 15:24:40.127856","2023-08-04 15:24:40.127856","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","97384042218",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed250>","12c","condition1","44159352537/2023-08-04 15:24:32.966694","no","7","1.05","44159352537/12c/7/2023-08-04 15:24:41.354529","2023-08-04 15:24:41.354529","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed2e0>","12c","condition1","44159352537/2023-08-04 15:24:32.966694","yes","7","Infinity","44159352537/12c/7/2023-08-04 15:24:42.231376","2023-08-04 15:24:42.231376","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","44159352537",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed370>","11c","condition2","76227471802/2023-08-04 15:24:34.957543","no","3","0.52","76227471802/11c/3/2023-08-04 15:24:57.341457","2023-08-04 15:24:57.341457","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed400>","11b","condition6","92699775712/2023-08-04 15:24:46.674716","no","7","1","92699775712/11b/7/2023-08-04 15:24:57.586773","2023-08-04 15:24:57.586773","Postercampagne tegen nieuwe Transgenderwet leidt tot kritiek van transgenderorganisaties ","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed490>","11c","condition2","76227471802/2023-08-04 15:24:34.957543","no","3","0.52","76227471802/11c/3/2023-08-04 15:24:58.156859","2023-08-04 15:24:58.156859","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed520>","11c","condition2","76227471802/2023-08-04 15:24:34.957543","yes","3","0.52","76227471802/11c/3/2023-08-04 15:24:58.174309","2023-08-04 15:24:58.174309","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","76227471802",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed5b0>","11b","condition6","92699775712/2023-08-04 15:24:46.674716","yes","7","1","92699775712/11b/7/2023-08-04 15:24:58.280487","2023-08-04 15:24:58.280487","Postercampagne tegen nieuwe Transgenderwet leidt tot kritiek van transgenderorganisaties ","92699775712",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed640>","4d","condition5","59655613829/2023-08-04 15:24:00.998762","no","7","1.13","59655613829/4d/7/2023-08-04 15:25:18.142929","2023-08-04 15:25:18.142929","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","59655613829",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed6d0>","4d","condition5","59655613829/2023-08-04 15:24:00.998762","yes","7","Infinity","59655613829/4d/7/2023-08-04 15:25:19.007257","2023-08-04 15:25:19.007257","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","59655613829",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed760>","12a","condition3","59659610153/2023-08-04 15:22:22.206840","no","6","1","59659610153/12a/6/2023-08-04 15:26:26.473514","2023-08-04 15:26:26.473514","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? ‘Onzin! Dit is maar een spookbeeld’, zegt transgender activist Lydia van Doorn","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed7f0>","12a","condition3","59659610153/2023-08-04 15:22:22.206840","yes","6","1","59659610153/12a/6/2023-08-04 15:26:26.539079","2023-08-04 15:26:26.539079","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? ‘Onzin! Dit is maar een spookbeeld’, zegt transgender activist Lydia van Doorn","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed880>","1a","condition3","59659610153/2023-08-04 15:26:29.660600","no","4","0.72","59659610153/1a/4/2023-08-04 15:26:33.650667","2023-08-04 15:26:33.650667","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed910>","1a","condition3","59659610153/2023-08-04 15:26:29.660600","yes","4","0.72","59659610153/1a/4/2023-08-04 15:26:33.937257","2023-08-04 15:26:33.937257","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eed9a0>","5d","condition4","43109818776/2023-08-04 15:25:21.044575","no","0","1.01","43109818776/5d/0/2023-08-04 15:27:01.132679","2023-08-04 15:27:01.132679","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","43109818776",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eeda30>","5d","condition4","43109818776/2023-08-04 15:25:21.044575","yes","0","1.01","43109818776/5d/0/2023-08-04 15:27:02.455770","2023-08-04 15:27:02.455770","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","43109818776",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedac0>","12a","condition3","61226884433/2023-08-04 15:25:14.402848","no","5","1","61226884433/12a/5/2023-08-04 15:27:07.707672","2023-08-04 15:27:07.707672","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? ‘Onzin! Dit is maar een spookbeeld’, zegt transgender activist Lydia van Doorn","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedb50>","12a","condition3","61226884433/2023-08-04 15:25:14.402848","yes","5","1","61226884433/12a/5/2023-08-04 15:27:08.811426","2023-08-04 15:27:08.811426","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? ‘Onzin! Dit is maar een spookbeeld’, zegt transgender activist Lydia van Doorn","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedbe0>","4d","condition4","87936846113/2023-08-04 15:26:51.538461","no","5","0.74","87936846113/4d/5/2023-08-04 15:27:28.679109","2023-08-04 15:27:28.679109","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedc70>","4d","condition4","87936846113/2023-08-04 15:26:51.538461","yes","5","0.74","87936846113/4d/5/2023-08-04 15:27:28.977220","2023-08-04 15:27:28.977220","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedd00>","3d","condition4","87936846113/2023-08-04 15:27:39.172131","no","0","1","87936846113/3d/0/2023-08-04 15:28:17.775584","2023-08-04 15:28:17.775584","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedd90>","3d","condition4","87936846113/2023-08-04 15:27:39.172131","yes","0","1","87936846113/3d/0/2023-08-04 15:28:18.740441","2023-08-04 15:28:18.740441","Transgenderwet: wat zeggen de voor- en tegenstanders? Drie populaire argumenten met weerlegging","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eede20>","4d","condition5","28168368521/2023-08-04 15:27:12.015111","no","1","1","28168368521/4d/1/2023-08-04 15:28:40.559211","2023-08-04 15:28:40.559211","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","28168368521",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedeb0>","4a","condition3","59659610153/2023-08-04 15:28:38.110773","no","7","1","59659610153/4a/7/2023-08-04 15:28:42.054998","2023-08-04 15:28:42.054998","“Een drastische verbetering”: Nieuwe Transgenderwet zorgt voor zucht van verlichting voor transpersonen","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedf40>","4a","condition3","59659610153/2023-08-04 15:28:38.110773","yes","7","1","59659610153/4a/7/2023-08-04 15:28:43.320682","2023-08-04 15:28:43.320682","“Een drastische verbetering”: Nieuwe Transgenderwet zorgt voor zucht van verlichting voor transpersonen","59659610153",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0eedfd0>","4d","condition5","28168368521/2023-08-04 15:27:12.015111","yes","1","1","28168368521/4d/1/2023-08-04 15:28:42.103276","2023-08-04 15:28:42.103276","Wat houdt de nieuwe transgenderwet in? Een overzicht van de belangrijkste aanpassingen","28168368521",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef20a0>","5d","condition4","87936846113/2023-08-04 15:28:45.219184","no","2","0","87936846113/5d/2/2023-08-04 15:29:00.479922","2023-08-04 15:29:00.479922","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2130>","5d","condition4","87936846113/2023-08-04 15:28:45.219184","yes","2","0","87936846113/5d/2/2023-08-04 15:29:00.976862","2023-08-04 15:29:00.976862","Kabinet maakt publiekelijk excuses voor oude Transgenderwet","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef21c0>","12c","condition2","15593392346/2023-08-04 15:21:02.917827","no","1","1","15593392346/12c/1/2023-08-04 15:31:29.593228","2023-08-04 15:31:29.593228","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2250>","12c","condition2","15593392346/2023-08-04 15:21:02.917827","yes","1","1","15593392346/12c/1/2023-08-04 15:31:31.269511","2023-08-04 15:31:31.269511","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef22e0>","1a","condition2","15593392346/2023-08-04 15:31:57.253280","no","2","0","15593392346/1a/2/2023-08-04 15:32:06.897150","2023-08-04 15:32:06.897150","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2370>","1a","condition2","15593392346/2023-08-04 15:31:57.253280","yes","2","0","15593392346/1a/2/2023-08-04 15:32:07.849731","2023-08-04 15:32:07.849731","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2400>","3b","condition2","15593392346/2023-08-04 15:33:30.045755","no","3","0.37","15593392346/3b/3/2023-08-04 15:33:36.624434","2023-08-04 15:33:36.624434","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2490>","3b","condition2","15593392346/2023-08-04 15:33:30.045755","yes","3","0.37","15593392346/3b/3/2023-08-04 15:33:37.310597","2023-08-04 15:33:37.310597","Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","15593392346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2520>","12a","condition3","61226884433/2023-08-04 15:27:24.122209","no","5","1","61226884433/12a/5/2023-08-04 15:34:46.738974","2023-08-04 15:34:46.738974","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? ‘Onzin! Dit is maar een spookbeeld’, zegt transgender activist Lydia van Doorn","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef25b0>","12a","condition3","61226884433/2023-08-04 15:27:24.122209","yes","5","1","61226884433/12a/5/2023-08-04 15:34:47.668668","2023-08-04 15:34:47.668668","Lopen vrouwen dankzij Transgenderwet gevaar in het vrouwentoilet? ‘Onzin! Dit is maar een spookbeeld’, zegt transgender activist Lydia van Doorn","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2640>","1a","condition3","61226884433/2023-08-04 15:34:51.223998","no","4","0.36","61226884433/1a/4/2023-08-04 15:34:55.856234","2023-08-04 15:34:55.856234","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef26d0>","1a","condition3","61226884433/2023-08-04 15:34:51.223998","yes","4","0.36","61226884433/1a/4/2023-08-04 15:34:56.443149","2023-08-04 15:34:56.443149","Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2760>","2a","condition2","61892449581/2023-08-04 19:24:22.913976","no","3","0.25","61892449581/2a/3/2023-08-04 19:25:23.957039","2023-08-04 19:25:23.957039","Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet","61892449581",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef27f0>","2a","condition2","61892449581/2023-08-04 19:24:22.913976","yes","3","0.25","61892449581/2a/3/2023-08-04 19:25:24.315940","2023-08-04 19:25:24.315940","Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet","61892449581",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2880>","12c","condition2","207/2023-08-05 09:56:45.566172","no","0","0","207/12c/0/2023-08-05 09:57:07.363424","2023-08-05 09:57:07.363424","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2910>","12c","condition2","207/2023-08-05 09:56:45.566172","yes","0","0.49","207/12c/0/2023-08-05 09:57:10.360809","2023-08-05 09:57:10.360809","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef29a0>","12c","condition2","207/2023-08-05 09:57:18.843322","no","0","0","207/12c/0/2023-08-05 09:57:31.171800","2023-08-05 09:57:31.171800","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2a30>","12c","condition2","207/2023-08-05 09:57:18.843322","yes","0","0","207/12c/0/2023-08-05 09:57:33.114263","2023-08-05 09:57:33.114263","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2ac0>","12c","condition2","207/2023-08-05 09:57:39.800484","no","0","0","207/12c/0/2023-08-05 09:57:47.294263","2023-08-05 09:57:47.294263","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2b50>","12c","condition2","207/2023-08-05 09:57:39.800484","yes","0","0","207/12c/0/2023-08-05 09:57:49.200739","2023-08-05 09:57:49.200739","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2be0>","12c","condition2","207/2023-08-05 09:57:51.024375","yes","0","0","207/12c/0/2023-08-05 09:57:54.988027","2023-08-05 09:57:54.988027","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2c70>","12c","condition2","207/2023-08-05 09:58:01.839173","yes","0","0","207/12c/0/2023-08-05 09:58:12.724633","2023-08-05 09:58:12.724633","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2d00>","12c","condition2","207/2023-08-05 09:58:18.853965","no","0","0","207/12c/0/2023-08-05 09:58:32.105135","2023-08-05 09:58:32.105135","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2d90>","12c","condition2","207/2023-08-05 09:58:18.853965","yes","0","0","207/12c/0/2023-08-05 09:58:33.419981","2023-08-05 09:58:33.419981","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0ef2e20>","12c","condition2","207/2023-08-05 09:58:35.137993","no","0","0","207/12c/0/2023-08-05 09:58:42.618541","2023-08-05 09:58:42.618541","Spookbeelden over gevaren in vrouwentoiletten door Transgenderwet zijn onzin","207",
