_sa_instance_state, experimental_condition, timestamp_start, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5670>","condition6","2023-08-04 15:23:38.038245","72293047190",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5730>","condition5","2023-08-04 15:24:00.998762","59655613829",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f57f0>","condition1","2023-08-04 15:24:04.554820","13226153962",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f58b0>","condition3","2023-08-04 15:25:14.402848","61226884433",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5970>","condition4","2023-08-04 15:25:21.044575","43109818776",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5a30>","condition1","2023-08-04 15:26:36.389154","49506049253",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5af0>","condition4","2023-08-04 15:26:51.538461","87936846113",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5bb0>","condition5","2023-08-04 15:27:12.015111","28168368521",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5c70>","condition2","2023-08-04 19:24:22.913976","61892449581",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5d30>","condition3","2023-08-05 06:48:06.663143","67963043770",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5df0>","condition2","2023-08-05 09:56:45.566172","207",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5eb0>","condition2","2023-08-05 10:08:08.619480","209",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10f5f70>","condition5","2023-08-06 16:23:23.532573","301",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa070>","condition1","2023-08-06 20:54:14.457278","401",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa130>","condition2","2023-08-06 20:54:21.615952","402",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa1f0>","condition3","2023-08-06 20:54:27.675640","403",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa2b0>","condition4","2023-08-06 20:54:34.238471","404",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa370>","condition5","2023-08-06 20:54:39.471749","405",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa430>","condition6","2023-08-06 20:54:45.399509","406",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa4f0>","condition6","2023-08-07 07:29:02.490292","67031730320",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa5b0>","condition4","2023-08-07 08:58:42.027887","92504484346",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa670>","condition5","2023-08-07 09:00:00.907481","89683808449",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa730>","condition2","2023-08-07 09:00:48.970924","32137330702",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa7f0>","condition3","2023-08-07 09:01:22.186182","18264522140",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa8b0>","condition6","2023-08-07 09:02:22.961194","76768432876",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fa970>","condition5","2023-08-07 09:02:53.482866","97431056816",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10faa30>","condition1","2023-08-07 09:02:57.740105","54816415449",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10faaf0>","condition1","2023-08-07 09:04:04.472104","84137672707",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f10fabb0>","condition4","2023-08-07 09:04:38.392181","71333059228",
