_sa_instance_state, exposure_id, exposure_number, timestamp_exposures, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795370>","67987039440/2023-08-03 12:35:49.259777","1","2023-08-03 12:35:49.259777","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795430>","67987039440/2023-08-03 12:35:54.278978","2","2023-08-03 12:35:54.278978","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7954f0>","67987039440/2023-08-03 12:36:10.734754","3","2023-08-03 12:36:10.734754","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7955b0>","67987039440/2023-08-03 12:37:07.311724","4","2023-08-03 12:37:07.311724","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795670>","67987039440/2023-08-03 12:37:26.326886","5","2023-08-03 12:37:26.326886","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795730>","67987039440/2023-08-03 12:37:34.427544","6","2023-08-03 12:37:34.427544","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7957f0>","67987039440/2023-08-03 12:37:47.538575","7","2023-08-03 12:37:47.538575","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7958b0>","67987039440/2023-08-03 12:38:04.824838","8","2023-08-03 12:38:04.824838","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795970>","67987039440/2023-08-03 12:38:09.891307","9","2023-08-03 12:38:09.891307","67987039440",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795a30>","33/2023-08-03 12:50:10.646745","1","2023-08-03 12:50:10.646745","33",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795af0>","33/2023-08-03 12:50:32.449117","2","2023-08-03 12:50:32.449117","33",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795bb0>","40/2023-08-03 12:58:00.563231","1","2023-08-03 12:58:00.563231","40",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795c70>","27439261486/2023-08-04 14:48:06.657812","1","2023-08-04 14:48:06.657812","27439261486",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795d30>","37328421934/2023-08-04 14:48:24.676491","1","2023-08-04 14:48:24.676491","37328421934",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795df0>","91808008668/2023-08-04 14:48:40.191625","1","2023-08-04 14:48:40.191625","91808008668",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795eb0>","50975512759/2023-08-04 14:49:09.022742","1","2023-08-04 14:49:09.022742","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da795f70>","18243355529/2023-08-04 14:49:11.496452","1","2023-08-04 14:49:11.496452","18243355529",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da799070>","50975512759/2023-08-04 14:50:10.488989","2","2023-08-04 14:50:10.488989","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da799130>","50975512759/2023-08-04 14:50:27.083757","3","2023-08-04 14:50:27.083757","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7991f0>","50975512759/2023-08-04 14:50:47.213620","4","2023-08-04 14:50:47.213620","50975512759",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7992b0>","27439261486/2023-08-04 14:50:50.388850","2","2023-08-04 14:50:50.388850","27439261486",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da799370>","50975512759/2023-08-04 14:51:33.712138","5","2023-08-04 14:51:33.712138","50975512759",
