_sa_instance_state, article_id, position, primary, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0250>","2a","2","52198119410/2a/2","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0310>","11b","3","52198119410/11b/3","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f03d0>","5b","4","52198119410/5b/4","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0490>","1a","5","52198119410/1a/5","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0550>","3b","6","52198119410/3b/6","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0610>","12b","7","52198119410/12b/7","52198119410",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f06d0>","1a","0","4/1a/0","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0790>","5b","1","4/5b/1","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0850>","3a","2","4/3a/2","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0910>","10d","3","4/10d/3","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f09d0>","11a","4","4/11a/4","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0a90>","12a","5","4/12a/5","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0b50>","2a","6","4/2a/6","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0c10>","4a","7","4/4a/7","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0cd0>","5d","0","11895704823/5d/0","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0d90>","4d","1","11895704823/4d/1","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0e50>","10d","2","11895704823/10d/2","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0f10>","1c","3","11895704823/1c/3","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059f0fd0>","11d","4","11895704823/11d/4","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059750d0>","12d","5","11895704823/12d/5","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105975190>","2c","6","11895704823/2c/6","11895704823",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105975250>","3d","7","11895704823/3d/7","11895704823",
